title,url
art nouveau, https://www.google.com/search?q=art%20nouveau&tbm=isch&hl=fr&tbs=rimg:CR3VccwQdinrYS6bNOTcyUC4sgIMCgIIABAAOgQIARAA&rlz=1C5CHFA_enFR870FR870&sa=X&ved=0CBoQuIIBahcKEwjQhcOHqej8AhUAAAAAHQAAAAAQBw&biw=1425&bih=732
cubism,https://www.google.com/search?q=cubism&tbm=isch&hl=fr&tbs=rimg:Cai3XhLBNDpkYSh0P_b0RSIBsgIMCgIIABAAOgQIARAA&rlz=1C5CHFA_enFR870FR870&sa=X&ved=0CBoQuIIBahcKEwiY94PImuj8AhUAAAAAHQAAAAAQDw&biw=1440&bih=732#imgrc=QMjqd2uYJ1LndM
futurism painting,https://www.google.com/search?q=futurism%20painting&tbm=isch&hl=fr&tbs=rimg:CQCaHylQP8eQYWB6d5GFyiw8sgIMCgIIABAAOgQIARAA&rlz=1C5CHFA_enFR870FR870&sa=X&ved=0CBsQuIIBahcKEwigrurDmej8AhUAAAAAHQAAAAAQFw&biw=1440&bih=732
fauvism painting,https://www.google.com/search?q=fauvism%20painting&tbm=isch&hl=fr&tbs=rimg:CeN5QqmhND2AYbb5W0_z_YF0sgIMCgIIABAAOgQIARAA&rlz=1C5CHFA_enFR870FR870&sa=X&ved=0CB4QuIIBahcKEwiAhI_SjOj8AhUAAAAAHQAAAAAQFw&biw=1440&bih=732
the caravaggisti,https://www.google.com/search?q=the%20caravaggisti&tbm=isch&hl=fr&tbs=rimg:CR8gVSkw1NKBYXaQOxK7OAwesgIMCgIIABAAOgQIARAA&rlz=1C5CHFA_enFR870FR870&sa=X&ved=0CBoQuIIBahcKEwjIl7bcjOj8AhUAAAAAHQAAAAAQSg&biw=1440&bih=732
dripping painting,https://www.google.com/search?q=dripping%20painting&tbm=isch&tbs=rimg:CdFVOCrTwH-GYWsrD22ObeeSsgIOCgIIABAAOgQIARAAQAE&rlz=1C5CHFA_enFR870FR870&hl=fr&sa=X&ved=0CB4QuIIBahcKEwjg0tb0o-j8AhUAAAAAHQAAAAAQBw&biw=1440&bih=732
street art,https://www.google.com/search?q=street%20art&tbm=isch&tbs=rimg:CZA8utc9J2YMYZS4TnRAzfQfsgIMCgIIABAAOgQIARAA&rlz=1C5CHFA_enFR870FR870&hl=fr&sa=X&ved=0CBoQuIIBahcKEwiwoq6Ijej8AhUAAAAAHQAAAAAQHg&biw=1440&bih=732
french realists,https://www.google.com/search?q=french%20realists&tbm=isch&tbs=rimg:CdXPiY1XrtrLYcbXys_M40SZsgIMCgIIABAAOgQIARAA&rlz=1C5CHFA_enFR870FR870&hl=fr&sa=X&ved=0CBoQuIIBahcKEwjQz5H0muj8AhUAAAAAHQAAAAAQDA&biw=1440&bih=732
pointilism, https://www.google.com/search?q=pointillism&tbm=isch&hl=fr&tbs=rimg:CXtbsQR777gNYb1Q_jIWbg5OsgIMCgIIABAAOgQIARAA&rlz=1C5CHFA_enFR870FR870&sa=X&ved=0CBoQuIIBahcKEwiQ5ZbIpej8AhUAAAAAHQAAAAAQHw&biw=1440&bih=732
romantic landscapes in european painting, https://www.google.com/search?q=romantic%20landscapes%20in%20european%20painting&tbm=isch&tbs=rimg:CfG2gCUXAOEWYSQ5lqfEU66YsgIMCgIIABAAOgQIARAA&rlz=1C5CHFA_enFR870FR870&hl=fr&sa=X&ved=0CBoQuIIBahcKEwiY6P7Tpej8AhUAAAAAHQAAAAAQBw&biw=1440&bih=732
prehistorian painting, https://www.google.com/search?q=prehistoric%20painting&tbm=isch&hl=fr&tbs=rimg:CalBj4Gr0mgTYUgdDn1eOiylsgIOCgIIABAAOgQIARAAQAE&rlz=1C5CHFA_enFR870FR870&sa=X&ved=0CBoQuIIBahcKEwi46sbbpej8AhUAAAAAHQAAAAAQPg&biw=1440&bih=732
baroque still life, https://www.google.com/search?q=baroque%20still%20life&tbm=isch&hl=fr&tbs=rimg:CZOVYNOgOed3Yem4_n23Nj5KsgIOCgIIABAAKAE6BAgBEAE&rlz=1C5CHFA_enFR870FR870&sa=X&ved=0CBoQuIIBahcKEwjwwuuppuj8AhUAAAAAHQAAAAAQBw&biw=1440&bih=732
impressionism, https://www.google.com/search?q=impressionism&tbm=isch&tbs=rimg:CQedSUUQikOdYUrRKPfN5iI0sgIMCgIIABAAOgQIARAA&rlz=1C5CHFA_enFR870FR870&hl=fr&sa=X&ved=0CBwQuIIBahcKEwjw3576pej8AhUAAAAAHQAAAAAQFg&biw=1440&bih=732
